date,event,city,state,category
2028-12-30,Feira Livre Municipal Bicas,Bicas,MG,Gastronômico
2026-12-07,Encontro de Bandeira de Reis,Gastão Vidigal,SP,
2026-12-06,Litoral Tur,Caraguatatuba,SP,
2026-11-30,Cavalgada,Gastão Vidigal,SP,
2026-11-05,FTN- Fórum de Turismo de Negócios e Eventos,Florianópolis,SC,
2026-10-13,Festa de Nossa Senhora do Rosário dos Homens Pretos de Chapada do Nor...,Chapada do Norte,MG,
2026-10-12,Festa dos Cincos Santos,Indianópolis,MG,
2026-10-12,ExpoLagoa 2026,Lagoa Vermelha,RS,
2026-09-13,SERRA SERATA,Petrópolis,RJ,
2026-09-13,OKTOBERFEST PETRÓPOLIS,Petrópolis,RJ,
2026-09-08,Tradional Festa de Nossa Senhora Auxiliadora,Carnaubal,CE,
2026-09-07,Independência do Brasil,Indianópolis,MG,
2026-09-06,FEAGRES - Feira Agropecuária de Redençao da Serra,Redenção da Serra,SP,
2026-08-30,Festival do Cari,Marabá,PA,
2026-08-30,Feitio do Melado Makhall,Pinheiro Preto,SC,
2026-08-24,Rodeio,Indianópolis,MG,
2026-08-16,BUNKA-SAI,Petrópolis,RJ,
2026-08-13,Travel Next Minas,Belo Horizonte,MG,
2026-08-10,Feira do Melado,Capanema,PR,
2026-08-10,Conceição Agroshow 2026,Conceição das Alagoas,MG,
2026-08-06,Corrida Rides Run,Indianópolis,MG,
2026-08-05,Fenaindi,Indianópolis,MG,
2026-08-03,Eco Bike Feminino,São Desidério,BA,
2026-08-03,Arraiá da Ardeia,Indianópolis,MG,
2026-08-02,FESTIVAL DO CHOCOLATE DE PETRÓPOLIS,Petrópolis,RJ,
2026-08-01,Festa do Roupão,Piratuba,SC,
2026-07-26,Festa de Santa Ana e do Divino Espirito Santo,Indianópolis,MG,
2026-07-24,Arraiá Municipal de Carnaubal,Carnaubal,CE,
2026-07-20,Romaria em memória da morte do Padre Cícero,Juazeiro do Norte,CE,
2026-07-19,PETRÓPOLIS MOTO FEST,Petrópolis,RJ,
2026-07-19,Arraiá da Educação,Tupaciguara,MG,
2026-07-19,ARRAIÁ DO TIO PEDRO,Curuá,PA,
2026-07-12,Festa Junina,Indianópolis,MG,
2026-07-11,33ª FESTA DO PEÃO DE BOIADEIRO,Piquet Carneiro,CE,
2026-07-09,21° Festival Nautico e festival do queijo cabacinha,Alto Araguaia,MT,
2026-07-05,Festival Junino de Breu Branco,Breu Branco,PA,
2026-07-05,BAUERNFEST,Petrópolis,RJ,
2026-07-05,Arraia do Lageado,Itapagipe,MG,
2026-07-01,SÃO JOÃO DE MARACANAÚ,Maracanaú,CE,
2026-06-24,São João do Povo,Pedro Avelino,RN,
2026-06-24,Juninão,Gastão Vidigal,SP,
2026-06-24,Aniversário da cidade,Gastão Vidigal,SP,
2026-06-14,ARRAIÁ AMOR PERFEITO - PETRÓPOLIS,Petrópolis,RJ,
2026-06-13,Festa do Pau da Bandeira de Santo Antônio,Barbalha,CE,
2026-06-07,Feira Internacional do Turismo no Pantanal. FIT PANTANAL 2026 - Para o...,Cuiabá,MT,
2026-06-07,26ª Fenarroz - Multifeira do Agronegócio,Cachoeira do Sul,RS,
2026-06-06,CAXIAS IN VINO,Caxias do Sul,RS,
2026-06-05,Páscoa Piratuba,Piratuba,SC,
2026-06-03,10º Congresso Luso-Brasileiro de Auditores Fiscais,Belo Horizonte,MG,
2026-06-01,Luzes do Potengi,São Paulo do Potengi,RN,
2026-06-01,La Bella Polenta Makhall,Pinheiro Preto,SC,
2026-06-01,FESTA DE SANTOS REIS,São Pedro,RN,
2026-05-31,Festa de maio,Indianópolis,MG,
2026-05-31,51ª EXPOSIÇÃO AGROPECUÁRIA DE GURUPI - EXPOGURUPI,Gurupi,TO,
2026-05-31,39º Carijo da Canção Gaúcha,Palmeira das Missões,RS,
2026-05-17,Festa do Peão,Gastão Vidigal,SP,
2026-05-17,Festa da Colônia,Gramado,RS,
2026-05-16,Emancipação Política de São Luís do Qutiunde,São Luís do Quitunde,AL,
2026-05-10,Festa em Louvor ao Divino Pai Eterno,São Patrício,GO,
2026-05-07,"Campina Grande, o Maior São João do Mundo",Campina Grande,PB,
2026-05-04,PÁSCOA PETRÓPOLIS,Petrópolis,RJ,
2026-05-04,18 Osterfest,Pomerode,SC,
2026-05-03,Arraial da Gente - Suas coisas Sua gente,Redenção da Serra,SP,
2026-05-02,APETL- ASSOCIAÇÃO DE PESCA ESPORTIVA DE TRÊS LAGOAS,Três Lagoas,MS,
2026-04-27,SALOON BBQ,Petrópolis,RJ,
2026-04-26,PET SERRA SUMMIT,Caxias do Sul,RS,
2026-04-25,Rock in Cover,Barra do Piraí,RJ,
2026-04-24,São Sebastião,Indianópolis,MG,
