id_evento,data_evento,nome_evento,cidade_evento,estado_evento,categoria_evento
1,2028-12-30,Feira Livre Municipal Bicas,Bicas,MG,Gastronômico
2,2026-12-07,Encontro de Bandeira de Reis,Gastão Vidigal,SP,NaN
3,2026-12-06,Litoral Tur,Caraguatatuba,SP,NaN
4,2026-11-30,Cavalgada,Gastão Vidigal,SP,NaN
5,2026-11-05,FTN- Fórum de Turismo de Negócios e Eventos,Florianópolis,SC,NaN
6,2026-10-13,Festa de Nossa Senhora do Rosário dos Homens Pretos de Chapada do Nor...,Chapada do Norte,MG,NaN
7,2026-10-12,Festa dos Cincos Santos,Indianópolis,MG,NaN
8,2026-10-12,ExpoLagoa 2026,Lagoa Vermelha,RS,NaN
9,2026-09-13,SERRA SERATA,Petrópolis,RJ,NaN
10,2026-09-13,OKTOBERFEST PETRÓPOLIS,Petrópolis,RJ,NaN
11,2026-09-08,Tradional Festa de Nossa Senhora Auxiliadora,Carnaubal,CE,NaN
12,2026-09-07,Independência do Brasil,Indianópolis,MG,NaN
13,2026-09-06,FEAGRES - Feira Agropecuária de Redençao da Serra,Redenção da Serra,SP,NaN
14,2026-08-30,Festival do Cari,Marabá,PA,NaN
15,2026-08-30,Feitio do Melado Makhall,Pinheiro Preto,SC,NaN
16,2026-08-24,Rodeio,Indianópolis,MG,NaN
17,2026-08-16,BUNKA-SAI,Petrópolis,RJ,NaN
18,2026-08-13,Travel Next Minas,Belo Horizonte,MG,NaN
19,2026-08-10,Feira do Melado,Capanema,PR,NaN
20,2026-08-10,Conceição Agroshow 2026,Conceição das Alagoas,MG,NaN
21,2026-08-06,Corrida Rides Run,Indianópolis,MG,NaN
22,2026-08-05,Fenaindi,Indianópolis,MG,NaN
23,2026-08-03,Eco Bike Feminino,São Desidério,BA,NaN
24,2026-08-03,Arraiá da Ardeia,Indianópolis,MG,NaN
25,2026-08-02,FESTIVAL DO CHOCOLATE DE PETRÓPOLIS,Petrópolis,RJ,NaN
26,2026-08-01,Festa do Roupão,Piratuba,SC,NaN
27,2026-07-26,Festa de Santa Ana e do Divino Espirito Santo,Indianópolis,MG,NaN
28,2026-07-24,Arraiá Municipal de Carnaubal,Carnaubal,CE,NaN
29,2026-07-20,Romaria em memória da morte do Padre Cícero,Juazeiro do Norte,CE,NaN
30,2026-07-19,PETRÓPOLIS MOTO FEST,Petrópolis,RJ,NaN
31,2026-07-19,Arraiá da Educação,Tupaciguara,MG,NaN
32,2026-07-19,ARRAIÁ DO TIO PEDRO,Curuá,PA,NaN
33,2026-07-12,Festa Junina,Indianópolis,MG,NaN
34,2026-07-11,33ª FESTA DO PEÃO DE BOIADEIRO,Piquet Carneiro,CE,NaN
35,2026-07-09,21° Festival Nautico e festival do queijo cabacinha,Alto Araguaia,MT,NaN
36,2026-07-05,Festival Junino de Breu Branco,Breu Branco,PA,NaN
37,2026-07-05,BAUERNFEST,Petrópolis,RJ,NaN
38,2026-07-05,Arraia do Lageado,Itapagipe,MG,NaN
39,2026-07-01,SÃO JOÃO DE MARACANAÚ,Maracanaú,CE,NaN
40,2026-06-24,São João do Povo,Pedro Avelino,RN,NaN
41,2026-06-24,Juninão,Gastão Vidigal,SP,NaN
42,2026-06-24,Aniversário da cidade,Gastão Vidigal,SP,NaN
43,2026-06-14,ARRAIÁ AMOR PERFEITO - PETRÓPOLIS,Petrópolis,RJ,NaN
44,2026-06-13,Festa do Pau da Bandeira de Santo Antônio,Barbalha,CE,NaN
45,2026-06-07,Feira Internacional do Turismo no Pantanal. FIT PANTANAL 2026 - Para o...,Cuiabá,MT,NaN
46,2026-06-07,26ª Fenarroz - Multifeira do Agronegócio,Cachoeira do Sul,RS,NaN
47,2026-06-06,CAXIAS IN VINO,Caxias do Sul,RS,NaN
48,2026-06-05,Páscoa Piratuba,Piratuba,SC,NaN
49,2026-06-03,10º Congresso Luso-Brasileiro de Auditores Fiscais,Belo Horizonte,MG,NaN
50,2026-06-01,Luzes do Potengi,São Paulo do Potengi,RN,NaN
51,2026-06-01,La Bella Polenta Makhall,Pinheiro Preto,SC,NaN
52,2026-06-01,FESTA DE SANTOS REIS,São Pedro,RN,NaN
53,2026-05-31,Festa de maio,Indianópolis,MG,NaN
54,2026-05-31,51ª EXPOSIÇÃO AGROPECUÁRIA DE GURUPI - EXPOGURUPI,Gurupi,TO,NaN
55,2026-05-31,39º Carijo da Canção Gaúcha,Palmeira das Missões,RS,NaN
56,2026-05-17,Festa do Peão,Gastão Vidigal,SP,NaN
57,2026-05-17,Festa da Colônia,Gramado,RS,NaN
58,2026-05-16,Emancipação Política de São Luís do Qutiunde,São Luís do Quitunde,AL,NaN
59,2026-05-10,Festa em Louvor ao Divino Pai Eterno,São Patrício,GO,NaN
60,2026-05-07,"Campina Grande, o Maior São João do Mundo",Campina Grande,PB,NaN
61,2026-05-04,PÁSCOA PETRÓPOLIS,Petrópolis,RJ,NaN
62,2026-05-04,18 Osterfest,Pomerode,SC,NaN
63,2026-05-03,Arraial da Gente - Suas coisas Sua gente,Redenção da Serra,SP,NaN
64,2026-05-02,APETL- ASSOCIAÇÃO DE PESCA ESPORTIVA DE TRÊS LAGOAS,Três Lagoas,MS,NaN
65,2026-04-27,SALOON BBQ,Petrópolis,RJ,NaN
66,2026-04-26,PET SERRA SUMMIT,Caxias do Sul,RS,NaN
67,2026-04-25,Rock in Cover,Barra do Piraí,RJ,NaN
68,2026-04-24,São Sebastião,Indianópolis,MG,NaN
69,2026-04-16,"15ª Envase Brasil  - Tecnologia, Embalagens e Processos para Indústr...",Bento Gonçalves,RS,Científico ou Técnico
70,2026-04-12,Páscoa em Gramado,Gramado,RS,NaN
71,2026-04-05,Semana Santa,Indianópolis,MG,NaN
